product_id,variant_id,status,title,variant,sku,old_price,final_price,changed
9920601653496,48966678151416,ACTIVE,Certified 2.20ct VS1/Round Cut/Blue Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 7,GH-MOI-00996,4200.00,5099.99,Yes
9920601653496,48966678184184,ACTIVE,Certified 2.20ct VS1/Round Cut/Blue Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 5,,4200.00,5099.99,Yes
9920601653496,48966678216952,ACTIVE,Certified 2.20ct VS1/Round Cut/Blue Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 6,,4200.00,5099.99,Yes
9920601653496,48966678249720,ACTIVE,Certified 2.20ct VS1/Round Cut/Blue Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 8,,4200.00,5099.99,Yes
9920601653496,48966678282488,ACTIVE,Certified 2.20ct VS1/Round Cut/Blue Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 9,,4200.00,5099.99,Yes
9920601653496,48966678315256,ACTIVE,Certified 2.20ct VS1/Round Cut/Blue Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 10,,4200.00,5099.99,Yes
9920601719032,48966678741240,ACTIVE,Certified 2.5ct VVS1 Round Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 7,GH-MOI-00995,7700.00,7700.00,No (reverted)
9920601719032,48966678774008,ACTIVE,Certified 2.5ct VVS1 Round Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 5,,7700.00,7700.00,No (reverted)
9920601719032,48966678806776,ACTIVE,Certified 2.5ct VVS1 Round Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 6,,7700.00,7700.00,No (reverted)
9920601719032,48966678839544,ACTIVE,Certified 2.5ct VVS1 Round Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 8,,7700.00,7700.00,No (reverted)
9920601719032,48966678872312,ACTIVE,Certified 2.5ct VVS1 Round Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 9,,7700.00,7700.00,No (reverted)
